,Synset,PoS,Palabra,TagCount
866,103560161,n,ídolo,1
867,103562126,n,falsificación,2
868,103563967,n,herramienta,3
869,103564667,n,importación,4
870,103579355,n,decoración,1
871,103582658,n,invento,3
872,103592245,n,cárcel,10
873,103595614,n,camiseta,8
874,103613294,n,llave,1
875,103619890,n,cocina,4
876,103623556,n,cuchillo,1
877,103624134,n,cuchillo,2
878,103632189,n,vacío,2
879,103640166,n,paisaje,1
880,103664943,n,ligamento,4
881,103671272,n,línea,15
882,103671473,n,línea,1
883,103679384,n,vivienda,4
884,103680248,n,carga,3
885,103683708,n,vestuario,8
886,103699975,n,máquina,4
887,103706653,n,disco,1
888,103713151,n,casita,3
889,103716327,n,pieza,1
890,103721169,n,mármol,1
891,103729951,n,material,3
892,103733281,n,laberinto,3
893,103733547,n,medio,2
894,103743279,n,megáfono,1
895,103743902,n,monumento,2
896,103756184,n,éxtasis,3
897,103773268,n,escenografía,1
898,103789946,n,motor,3
899,103793186,n,soporte,1
900,103800563,n,museo,21
901,103800933,n,instrumento,1
902,103813078,n,nave,1
903,103820728,n,red,13
904,103822171,n,diario,1
905,103822504,n,redacción,2
906,103834040,n,reactor,10
907,103839795,n,obstáculo,1
908,103841417,n,obra,10
909,103841666,n,oficina,6
910,103847823,n,mercado,5
911,103854065,n,órgano,2
912,103859280,n,dependencia,3
913,103860404,n,retrete,2
914,103871083,n,paquete,3
915,103875218,n,pintura,2
916,103876519,n,pintura,4
917,103876519,n,cuadro,9
918,103877845,n,palacio,1
919,103878066,n,palacio,4
920,103891538,n,sala,22
921,103892891,n,parte,2
922,103895293,n,pasaje,5
923,103895585,n,corredor,1
924,103900979,n,pabellón,1
925,103901074,n,losa,2
926,103912496,n,pentágono,4
927,103916031,n,perfume,4
928,103924069,n,disco,6
929,103925226,n,foto,2
930,103928116,n,piano,11
931,103931044,n,foto,10
932,103931044,n,imagen,14
933,103936568,n,pastilla,6
934,103953416,n,templo,3
935,103956922,n,factoría,7
936,103956922,n,fábrica,7
937,103959936,n,plancha,2
938,103976960,n,polo,1
939,103987079,n,retrato,5
940,103996655,n,central,2
941,103999992,n,prensa,1
942,104007894,n,producto,16
943,104008634,n,proyectil,2
944,104018667,n,urinario,6
945,104024396,n,pinchazo,3
946,104025130,n,títere,2
947,104025350,n,títere,3
948,104037625,n,circuito,2
949,104040759,n,radiador,1
950,104041069,n,radiador,1
951,104041544,n,radio,2
952,104042358,n,radiografía,2
953,104055595,n,ratonera,1
954,104060647,n,receptor,1
955,104063661,n,grabación,5
956,104072193,n,regulador,2
957,104073208,n,estreno,11
958,104075916,n,taller,2
959,104078747,n,pantano,7
960,104092013,n,prioridad,4
961,104092609,n,anillo,1
962,104105893,n,habitación,5
963,104112921,n,borrador,1
964,104128710,n,lona,4
965,104131610,n,salina,1
966,104137444,n,satélite,3
967,104145056,n,escenario,4
968,104146050,n,escuela,1
969,104152829,n,pantalla,1
970,104157320,n,escultura,3
971,104161981,n,asiento,1
972,104176528,n,aparato,3
973,104190052,n,estantería,1
974,104190464,n,proyectil,1
975,104191595,n,refugio,2
976,104194289,n,nave,1
977,104194289,n,embarcación,4
978,104202417,n,establecimiento,7
979,104209613,n,ducha,2
980,104219277,n,silueta,1
981,104230808,n,falda,1
982,104250026,n,retal,2
983,104263614,n,canal,1
