,Synset,Glosa
971,100211593,None
972,100211776,None
973,100212065,None
974,100212205,None
975,100212377,None
976,100212551,None
977,100212678,None
978,100212808,None
979,100213052,None
980,100213186,None
981,100213343,entrega de un persona_importante a custodia legítima
982,100213482,None
983,100213694,declaración formal escrita de dimisión
984,100213903,None
985,100214148,None
986,100214315,None
987,100214526,None
988,100214794,None
989,100215013,None
990,100215314,finalización de una relación
991,100215534,"separación , ruptura o divorcio"
992,100215683,None
993,100215838,None
994,100216038,finalización de un encuentro
995,100216174,None
996,100216607,despido brusco y repentino
997,100216723,None
998,100216834,None
999,100217014,None
1000,100217499,None
1001,100217593,None
1002,100217773,destrucción conseguida haciendo_pedazos algo
1003,100218045,destrucción completa de un edificio
1004,100218208,destrucción mediante la eliminación de algo
1005,100218427,None
1006,100218602,None
1007,100218753,aniquilación mediante la trituración de algo
1008,100218902,aniquilación mediante la atomización de algo
1009,100219012,None
1010,100219463,golpe que mata ( normalmente con clemencia )
1011,100219575,None
1012,100219738,homicidio realizado por un disparo realizado desde un coche en movimiento
1013,100219856,None
1014,100220023,None
1015,100220219,None
1016,100220409,asesinato no planeado
1017,100220522,None
1018,100221056,asesinato de una figura pública en un ataque sorpresa
1019,100221178,None
1020,100221343,acción de matar a un ser humano sin premeditación en defensa propia
1021,100221480,asesinato llevado a cabo mediante un acuerdo con un asesino contratado
1022,100221596,None
1023,100221727,asesinato de un esposo a su esposa (o al revés)
1024,100221819,asesinato de la madre
1025,100221900,asesinato del padre
1026,100221981,None
1027,100222064,asesinato de una esposa llevado a cabo por su esposo
1028,100222155,None
1029,100222248,None
1030,100222376,None
1031,100222485,None
1032,100222766,None
1033,100222939,None
1034,100223144,None
1035,100223268,None
1036,100223362,None
1037,100223575,None
1038,100223720,asesinato de un adversario
1039,100223854,None
1040,100223983,None
1041,100224260,masacre colectiva
1042,100224599,None
1043,100224738,None
1044,100224936,None
1045,100225070,None
1046,100225150,acto de matar a alguien con un disparo
1047,100225361,None
1048,100225484,None
1049,100225593,asesinato por asfixia
1050,100225786,None
1051,100226107,None
1052,100226319,None
1053,100226511,None
1054,100226711,None
1055,100226951,None
1056,100227137,None
1057,100227264,None
1058,100227484,None
1059,100227595,acto de matar ( a un animal o persona ) con el fin de apaciguar a los dioses
1060,100227848,None
1061,100227969,matar u ofrecer como sacrificio
1062,100228078,matar con una descarga eléctrica
1063,100228181,None
1064,100228283,None
1065,100228535,None
1066,100228762,venta de una póliza de seguro realizada por el titular de la póliza que es un enfermo terminal
1067,100228911,None
1068,100229034,None
1069,100229260,finalización de una actividad
1070,100229587,None
1071,100229688,None
1072,100229814,None
1073,100229934,None
1074,100230172,None
1075,100230324,interrupción de un embarazo
1076,100230475,None
1077,100230703,None
1078,100230824,aparición de síntomas que señalan la pérdida inminente del feto
1079,100230997,None
1080,100231161,interrupción intencionada del embarazo
1081,100231315,None
1082,100231412,None
1083,100231567,None
1084,100231887,None
1085,100232147,None
1086,100232386,None
1087,100232604,None
1088,100232765,pérdida de los derechos civiles
1089,100232863,None
1090,100233212,None
1091,100233386,None
1092,100233614,None
1093,100233795,disolución de una unidad militar ( por traslado o baja )
1094,100233980,None
1095,100234105,"despido de las fuerzas armadas por una ofensa grave ( como sabotaje , espionaje , cobardía o asesinato )"
1096,100234277,None
1097,100234423,None
1098,100234675,None
1099,100234892,None
1100,100235074,None
1101,100235208,None
1102,100235435,None
1103,100236194,None
1104,100236581,None
1105,100236821,activación y operativización ( de algo como una bomba )
1106,100236953,None
1107,100237078,None
1108,100237705,None
1109,100237869,None
1110,100238022,None
1111,100238326,None
1112,100238527,None
