,Source Synset,Target Synset
44645,105456945,105457469
44646,105456945,105457973
44647,105456945,105459101
44648,105456945,111549391
44649,105456945,113095543
44650,105457973,101460457
44651,105457973,105458173
44652,105457973,105458300
44653,105458412,105458576
44654,105458412,105458990
44655,105459232,105459769
44656,105459232,105460759
44657,105460473,105520168
44658,105460473,105572057
44659,105461816,105318606
44660,105461816,105533948
44661,105462315,105505131
44662,105462315,105505679
44663,105462674,105228020
44664,105462674,105296968
44665,105462674,105463449
44666,105462674,105463533
44667,105462674,105476915
44668,105462674,105477305
44669,105462674,105478139
44670,105462674,105481095
44671,105462674,105481549
44672,105462674,105482129
44673,105462674,105485554
44674,105462674,105485856
44675,105462674,105486159
44676,105462674,105486319
44677,105462674,105486510
44678,105462674,105487423
44679,105462674,105491993
44680,105462674,105495172
44681,105462674,105495981
44682,105462674,105496261
44683,105462674,105496592
44684,105462674,105496802
44685,105462674,105496990
44686,105462674,105498773
44687,105462674,105499044
44688,105462674,105499172
44689,105462674,105499379
44690,105462674,105499828
44691,105462674,105500006
44692,105462674,105500594
44693,105462674,105500812
44694,105462674,105500992
44695,105462674,105501185
44696,105462674,105501932
44697,105462674,105503555
