,Subclass,Hierarchy_1,Hierarchy_2
669,subclass,Text,Artifact
670,subclass,Text,ContentBearingObject
671,subclass,Text,LinguisticExpression
672,subclass,TextureAttribute,PerceptualAttribute
673,subclass,TherapeuticProcess,Repairing
674,subclass,ThreeDimensionalFigure,GeometricFigure
675,subclass,Thursday,Day
676,subclass,TimeDependentQuantity,UnaryConstantFunctionQuantity
677,subclass,TimeDuration,TimeMeasure
678,subclass,TimeInterval,TimePosition
679,subclass,TimeMeasure,ConstantQuantity
680,subclass,TimePoint,TimePosition
681,subclass,TimePosition,TimeMeasure
682,subclass,TimeZone,RelationalAttribute
683,subclass,Tissue,BodySubstance
684,subclass,TotalOrderingRelation,PartialOrderingRelation
685,subclass,TotalOrderingRelation,TrichotomizingRelation
686,subclass,TotalValuedRelation,InheritableRelation
687,subclass,TotalValuedRelation,Relation
688,subclass,Touching,Transfer
689,subclass,TraitAttribute,PsychologicalAttribute
690,subclass,Transaction,ChangeOfPossession
691,subclass,Transaction,DualObjectProcess
692,subclass,Transfer,Translocation
693,subclass,TransitiveRelation,BinaryRelation
694,subclass,Transitway,Region
695,subclass,Transitway,SelfConnectedObject
696,subclass,Translating,ContentDevelopment
697,subclass,Translating,DualObjectProcess
698,subclass,Translocation,Motion
699,subclass,Transportation,Translocation
